ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.34590,0.03789,0.06829,3

ROUGE-SU4+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.45008,0.04868,0.08787,3

ROUGE-L+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.58194,0.08274,0.14488,3

ROUGE-1+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.76907,0.03848,0.07329,3

ROUGE-2+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.34498,0.01674,0.03193,3

ROUGE-SU4+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.43888,0.02087,0.03984,3

ROUGE-L+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.58279,0.12901,0.21125,3

ROUGE-1+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.78458,0.05947,0.11055,3

ROUGE-2+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.33649,0.02367,0.04423,3

ROUGE-SU4+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.44698,0.03067,0.05741,3

ROUGE-L+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.47732,0.15600,0.23514,4

ROUGE-1+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.69865,0.13857,0.23127,4

ROUGE-2+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.28322,0.06080,0.10011,4

ROUGE-SU4+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.39044,0.07900,0.13141,4

ROUGE-L+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.58000,0.11553,0.19269,3

ROUGE-1+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.79415,0.06019,0.11191,3

ROUGE-2+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.29090,0.02089,0.03897,3

ROUGE-SU4+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.42294,0.02994,0.05592,3

ROUGE-L+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.60574,0.11820,0.19781,4

ROUGE-1+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.80074,0.07188,0.13191,4

ROUGE-2+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.39655,0.02998,0.05574,4

ROUGE-SU4+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.48266,0.03819,0.07077,4

ROUGE-L+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.64830,0.11018,0.18835,3

ROUGE-1+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.80978,0.06231,0.11572,3

ROUGE-2+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.48871,0.02875,0.05431,3

ROUGE-SU4+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.56327,0.03561,0.06699,3

ROUGE-L+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.55997,0.12881,0.20944,3

ROUGE-1+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.76625,0.09558,0.16996,3

ROUGE-2+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.31570,0.04016,0.07125,3

ROUGE-SU4+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.41623,0.05130,0.09134,3

ROUGE-L+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.52273,0.15021,0.23337,4

ROUGE-1+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.73138,0.08711,0.15567,4

ROUGE-2+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.33047,0.03679,0.06620,4

ROUGE-SU4+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.42301,0.04647,0.08374,4

ROUGE-L+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.62606,0.23119,0.33768,4

ROUGE-1+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.74397,0.25730,0.38236,4

ROUGE-2+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.45260,0.11806,0.18727,4

ROUGE-SU4+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.51594,0.14638,0.22806,4

ROUGE-L+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.45079,0.13929,0.21283,3

ROUGE-1+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.64997,0.06783,0.12284,3

ROUGE-2+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.22008,0.02077,0.03795,3

ROUGE-SU4+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.32756,0.03122,0.05701,3

ROUGE-L+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.51190,0.15766,0.24108,4

ROUGE-1+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.71143,0.08695,0.15496,4

ROUGE-2+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.31020,0.03332,0.06017,4

ROUGE-SU4+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.40790,0.04456,0.08034,4

ROUGE-L+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.56058,0.11730,0.19401,4

ROUGE-1+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.72540,0.07544,0.13667,4

ROUGE-2+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.39786,0.02462,0.04637,4

ROUGE-SU4+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.47268,0.03589,0.06672,4

ROUGE-L+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.63687,0.10710,0.18337,3

ROUGE-1+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.80501,0.05440,0.10191,3

ROUGE-2+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.34188,0.02113,0.03980,3

